,0
num__customer_zip_code_prefix,4
num__review_score,0
num__payment_sequential,0
num__payment_installments,0
num__payment_value,0
num__order_item_id,0
num__price,1
num__freight_value,44
num__product_name_lenght,15
num__product_description_lenght,10
num__product_photos_qty,4
num__product_weight_g,18
num__product_length_cm,29
num__product_height_cm,7
num__product_width_cm,5
num__seller_zip_code_prefix,18
num__delivery_delay,126
num__order_processing_time,0
num__is_delivery_on_time,231
num__is_review_commented,0
num__price_per_weight,3
num__has_multiple_items,0
num__payment_is_voucher,0
num__payment_is_boleto,0
num__review_response_time,32
num__seller_avg_delivery_delay,1
num__seller_avg_review_score,1
num__seller_cancellation_rate,48
num__seller_total_sales_value,35
num__seller_avg_price,3
num__seller_avg_freight_value,0
num__seller_review_comment_rate,1
num__seller_distinct_products,2
num__seller_order_approval_time_avg,18
num__seller_max_delivery_delay,5
num__seller_min_delivery_delay,2
num__seller_num_orders,3
num__customer_avg_review_score,0
num__customer_cancellation_rate,743
num__customer_total_spent,4
num__customer_avg_payment_installments,0
num__customer_distinct_sellers,5
num__customer_distinct_products,44
num__customer_review_comment_given_rate,0
num__customer_avg_delivery_delay,184
num__customer_num_orders,10
cat__customer_city_abadia dos dourados,0
cat__customer_city_abadiania,0
cat__customer_city_abaete,0
cat__customer_city_abaetetuba,0
cat__customer_city_abaiara,0
cat__customer_city_abaira,0
cat__customer_city_abare,0
cat__customer_city_abatia,0
cat__customer_city_abdon batista,0
cat__customer_city_abelardo luz,0
cat__customer_city_abrantes,0
cat__customer_city_abre campo,0
cat__customer_city_abreu e lima,0
cat__customer_city_acaiaca,0
cat__customer_city_acailandia,0
cat__customer_city_acajutiba,0
cat__customer_city_acarau,0
cat__customer_city_acari,0
cat__customer_city_acegua,0
cat__customer_city_acopiara,0
cat__customer_city_acreuna,0
cat__customer_city_acu,0
cat__customer_city_acucena,0
cat__customer_city_adamantina,0
cat__customer_city_adhemar de barros,0
cat__customer_city_adolfo,0
cat__customer_city_afogados da ingazeira,0
cat__customer_city_afonso claudio,0
cat__customer_city_afranio,0
cat__customer_city_agrestina,0
cat__customer_city_agronomica,0
cat__customer_city_agua boa,0
cat__customer_city_agua branca,0
cat__customer_city_agua clara,0
cat__customer_city_agua comprida,0
cat__customer_city_agua doce,0
cat__customer_city_agua doce do norte,0
cat__customer_city_agua limpa,0
cat__customer_city_agua nova,0
cat__customer_city_agua preta,0
cat__customer_city_agua santa,0
cat__customer_city_aguai,0
cat__customer_city_aguas belas,0
cat__customer_city_aguas da prata,0
cat__customer_city_aguas de lindoia,0
cat__customer_city_aguas de santa barbara,0
cat__customer_city_aguas de sao pedro,0
cat__customer_city_aguas formosas,0
cat__customer_city_aguas frias,0
cat__customer_city_aguas lindas de goias,0
cat__customer_city_aguas mornas,0
cat__customer_city_aguas vermelhas,0
cat__customer_city_agudos,0
cat__customer_city_aguia branca,0
cat__customer_city_aimores,0
cat__customer_city_aiuaba,0
cat__customer_city_aiuruoca,0
cat__customer_city_ajapi,0
cat__customer_city_ajuricaba,0
cat__customer_city_alagoa nova,0
cat__customer_city_alagoinha,0
cat__customer_city_alagoinhas,0
cat__customer_city_alambari,0
cat__customer_city_alcantara,0
cat__customer_city_alcinopolis,0
cat__customer_city_alcobaca,0
cat__customer_city_alegre,0
cat__customer_city_alegrete,0
cat__customer_city_alegrete do piaui,0
cat__customer_city_alegria,0
cat__customer_city_alem paraiba,0
cat__customer_city_alexandra,0
cat__customer_city_alexandria,0
cat__customer_city_alexandrita,0
cat__customer_city_alexania,0
cat__customer_city_alfenas,0
cat__customer_city_alfredo chaves,0
cat__customer_city_alfredo vasconcelos,0
cat__customer_city_alfredo wagner,0
cat__customer_city_alhandra,0
cat__customer_city_alianca,0
cat__customer_city_alianca do tocantins,0
cat__customer_city_almas,0
cat__customer_city_almenara,0
cat__customer_city_almino afonso,0
cat__customer_city_almirante tamandare,0
cat__customer_city_almirante tamandare do sul,0
cat__customer_city_alpercata,0
cat__customer_city_alpinopolis,0
cat__customer_city_alta floresta,0
cat__customer_city_alta floresta d'oeste,0
cat__customer_city_altamira,0
cat__customer_city_altamira do parana,0
cat__customer_city_altaneira,0
cat__customer_city_alterosa,0
cat__customer_city_altinho,0
cat__customer_city_altinopolis,0
cat__customer_city_alto alegre,0
cat__customer_city_alto alegre do iguacu,0
cat__customer_city_alto alegre do maranhao,0
cat__customer_city_alto alegre do pindare,0
cat__customer_city_alto araguaia,0
cat__customer_city_alto bela vista,0
cat__customer_city_alto boa vista,0
cat__customer_city_alto caparao,0
cat__customer_city_alto do rodrigues,0
cat__customer_city_alto garcas,0
cat__customer_city_alto horizonte,0
cat__customer_city_alto jequitiba,0
cat__customer_city_alto paraiso,0
cat__customer_city_alto paraiso de goias,0
cat__customer_city_alto parana,0
cat__customer_city_alto parnaiba,0
cat__customer_city_alto piquiri,0
cat__customer_city_alto rio doce,0
cat__customer_city_alto rio novo,0
cat__customer_city_alto santo,0
cat__customer_city_alto taquari,0
cat__customer_city_altonia,0
cat__customer_city_altos,0
cat__customer_city_aluminio,0
cat__customer_city_alvarenga,0
cat__customer_city_alvares florence,0
cat__customer_city_alvares machado,0
cat__customer_city_alvaro de carvalho,0
cat__customer_city_alvinopolis,0
cat__customer_city_alvorada,0
cat__customer_city_alvorada d'oeste,0
cat__customer_city_alvorada do gurgueia,0
cat__customer_city_alvorada do norte,0
cat__customer_city_amambai,0
cat__customer_city_amanari,0
cat__customer_city_amapa do maranhao,0
cat__customer_city_amapora,0
cat__customer_city_amaraji,0
cat__customer_city_amarante,0
cat__customer_city_amelia rodrigues,0
cat__customer_city_america dourada,0
cat__customer_city_americana,0
cat__customer_city_americano do brasil,0
